,BlockAddress,City,Complaint_ID,CrimeDescription,CrimeStatus,Crime_ID,District,Latitude,LevelofOffense,Longitude,NumOfActors,NumOfVictims,Premises,ReportDate,State,Timestamp
2325,Lakhi,Larkana,92987.0,Assault,COMPLETED,,Shikarpur,27.8474118699,MISDEMEANOR,68.7079654209,5,3,STREET,03/19/2015,Sindh,2015-03-19 18:40:00
2326,Garhi Khairo,Larkana,142519.0,Terrorism,COMPLETED,,Jacobabad,28.0661647613,MISDEMEANOR,67.9754401459,4,1,CONSTRUCTION SITE,01/15/2015,Sindh,2015-01-14 23:30:00
2327,Thul,Larkana,71193.0,Rape,COMPLETED,,Jacobabad,28.2434332683,MISDEMEANOR,68.756305827,5,1,UNDERPASS,05/19/2015,Sindh,2015-05-19 10:15:00
2328,Kandhkot,Larkana,79660.0,Assault,COMPLETED,,Kashmore,28.2454338825,VIOLATION,69.183368162,6,4,SUPERMARKET/ STORE,03/11/2014,Sindh,2014-03-11 18:40:00
2329,Kandhkot,Larkana,183042.0,Assault,COMPLETED,,Kashmore,28.2355527017,MISDEMEANOR,69.1853516676,5,8,RESIDENCE,10/08/2014,Sindh,2014-10-08 20:00:00
2330,Kambar,Larkana,163237.0,Corruption and Bribery,COMPLETED,,Qambar-Shahdadkot,27.5915365213,FELONY,67.9907592151,6,9,RESIDENCE,04/24/2015,Sindh,2015-04-24 20:45:00
2331,Thul,Larkana,100389.0,Theft,COMPLETED,,Jacobabad,28.2320661547,MISDEMEANOR,68.76956948,3,7,RAILWAY STATION,11/05/2014,Sindh,2014-11-05 11:00:00
2332,Kandhkot,Larkana,190554.0,Theft,COMPLETED,,Kashmore,28.2371182698,FELONY,69.1756162382,4,8,PUBLIC BUILDING,03/24/2015,Sindh,2015-03-08 00:01:00
2333,Rato Dero,Larkana,196118.0,Assault,COMPLETED,,Larkana,27.8103726839,VIOLATION,68.3007325077,5,1,RESIDENCE,04/16/2015,Sindh,2015-04-15 09:30:00
2334,Miro Khan,Larkana,152897.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.7627378125,FELONY,68.1090325206,7,6,RESIDENCE,07/15/2014,Sindh,2014-07-14 11:00:00
2335,Warah,Larkana,191931.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.4535277641,MISDEMEANOR,67.7970631726,3,5,SUPERMARKET/ STORE,04/21/2015,Sindh,2015-04-21 11:25:00
2336,Kandhkot,Larkana,18802.0,Assault,COMPLETED,,Kashmore,28.2344434551,MISDEMEANOR,69.1922327553,2,4,BEAUTY SALON/ BARBER SHOP,01/19/2014,Sindh,2014-01-19 18:00:00
2337,Kandhkot,Larkana,35592.0,Terrorism,COMPLETED,,Kashmore,28.248405511,MISDEMEANOR,69.1773320795,3,5,RESIDENCE,04/29/2014,Sindh,2014-04-28 22:30:00
2338,Garhi Khairo,Larkana,99694.0,Theft,COMPLETED,,Jacobabad,28.0673798448,FELONY,67.9884553393,2,6,RESTAURANT/DINER,07/03/2014,Sindh,2014-06-24 23:30:00
2339,Nasirabad,Larkana,11675.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.3802397452,VIOLATION,67.9319366865,2,3,PUBLIC BUILDING,11/19/2015,Sindh,2015-11-17 21:00:00
2340,Lakhi,Larkana,107865.0,Terrorism,COMPLETED,,Shikarpur,27.8493594544,MISDEMEANOR,68.7117902747,3,5,RESIDENCE,12/29/2014,Sindh,2014-12-28 09:00:00
2341,Thul,Larkana,147742.0,Narcotics,COMPLETED,,Jacobabad,28.2356359954,FELONY,68.7681478651,2,4,STREET,11/25/2015,Sindh,2015-11-25 22:00:00
2342,Garhi Yasin,Larkana,198051.0,Theft,COMPLETED,,Shikarpur,27.9106874921,MISDEMEANOR,68.532009194,5,6,SUPERMARKET/ STORE,04/06/2014,Sindh,2014-03-24 20:06:00
2343,Tangwani,Larkana,25581.0,Theft,COMPLETED,,Kashmore,28.2615559942,MISDEMEANOR,69.0139367235,3,3,RESIDENCE,12/21/2015,Sindh,2015-12-14 18:00:00
2344,Rato Dero,Larkana,87144.0,Theft,COMPLETED,,Larkana,27.8027334103,MISDEMEANOR,68.2732513729,5,4,STREET,05/30/2014,Sindh,2014-05-29 21:40:00
2345,Nasirabad,Larkana,175239.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.3843682428,FELONY,67.9251645341,5,9,RESIDENCE,11/23/2014,Sindh,2014-11-20 17:00:00
2346,Tangwani,Larkana,86675.0,Terrorism,COMPLETED,,Kashmore,28.2610900342,MISDEMEANOR,68.9854163252,7,6,RESIDENCE,12/13/2015,Sindh,2015-12-11 19:30:00
2347,Dokri,Larkana,156126.0,Assault,COMPLETED,,Larkana,27.3622486766,VIOLATION,68.1150451009,7,4,BEAUTY SALON/ BARBER SHOP,08/21/2014,Sindh,2014-08-21 18:50:00
2348,Sujawal Junejo,Larkana,166241.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,24.6085355993,FELONY,68.0850444702,4,8,STREET,01/03/2015,Sindh,2015-01-02 22:30:00
2349,Dokri,Larkana,116138.0,Assault,COMPLETED,,Larkana,27.3803917297,VIOLATION,68.1166331172,2,1,RESIDENCE,11/11/2015,Sindh,2015-11-11 17:30:00
2350,Garhi Khairo,Larkana,184987.0,Theft,COMPLETED,,Jacobabad,28.0637666081,MISDEMEANOR,67.9719540405,2,3,PUBLIC BUILDING,09/09/2015,Sindh,2015-09-09 14:00:00
2351,Rato Dero,Larkana,64774.0,Theft,COMPLETED,,Larkana,27.8003588864,MISDEMEANOR,68.2861513191,5,4,RESIDENCE,04/04/2015,Sindh,2015-03-17 14:00:00
2352,Dokri,Larkana,143528.0,Assault,COMPLETED,,Larkana,27.3716594667,VIOLATION,68.1031275418,7,9,STREET,07/18/2014,Sindh,2014-07-18 18:10:00
2353,Rato Dero,Larkana,44204.0,Terrorism,COMPLETED,,Larkana,27.8018781183,MISDEMEANOR,68.2931198259,7,7,RESIDENCE,12/04/2014,Sindh,2014-12-04 16:50:00
2354,Rato Dero,Larkana,105903.0,Terrorism,COMPLETED,,Larkana,27.8052184493,FELONY,68.2972602822,2,7,STREET,08/02/2015,Sindh,2015-08-02 14:00:00
2355,Thul,Larkana,24550.0,Theft,COMPLETED,,Jacobabad,28.2363225919,MISDEMEANOR,68.7748570554,7,2,MALL,04/14/2015,Sindh,2015-04-14 15:56:00
2356,Rato Dero,Larkana,79627.0,Terrorism,COMPLETED,,Larkana,27.8050962188,MISDEMEANOR,68.273850996,7,4,RESIDENCE,07/29/2014,Sindh,2014-07-28 08:15:00
2357,Tangwani,Larkana,47408.0,Corruption and Bribery,COMPLETED,,Kashmore,28.2653670201,FELONY,68.9991882253,4,1,RESIDENCE,07/09/2014,Sindh,2014-07-03 20:00:00
2358,Dokri,Larkana,194149.0,Theft,COMPLETED,,Larkana,27.3687256996,FELONY,68.109007423,7,7,STREET,03/16/2014,Sindh,2014-03-16 19:15:00
2359,Nasirabad,Larkana,187969.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.3762326156,VIOLATION,67.9029299425,7,5,RESIDENCE,02/23/2015,Sindh,2015-02-23 11:30:00
2360,Rato Dero,Larkana,195488.0,Terrorism,COMPLETED,,Larkana,27.7987978548,MISDEMEANOR,68.2952147809,2,4,RESIDENCE,08/14/2015,Sindh,2015-08-12 14:00:00
2361,Miro Khan,Larkana,167241.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.7533607869,FELONY,68.0982535846,7,6,SUPERMARKET/ STORE,07/01/2014,Sindh,2014-05-13 20:00:00
2362,Miro Khan,Larkana,70380.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.7490099727,FELONY,68.1037099239,6,6,RESIDENCE,10/07/2014,Sindh,2014-07-10 00:01:00
2363,Shahdadkot,Larkana,52672.0,Burglary,COMPLETED,,Qambar-Shahdadkot,27.8492351239,FELONY,67.9138593525,2,9,RESIDENCE,04/24/2014,Sindh,2014-04-24 14:45:00
2364,Lakhi,Larkana,183473.0,Terrorism,COMPLETED,,Shikarpur,27.8461471567,MISDEMEANOR,68.6886100728,2,7,RESIDENCE,09/05/2014,Sindh,2014-09-04 08:00:00
2365,Thul,Larkana,37905.0,Narcotics,COMPLETED,,Jacobabad,28.2403129234,FELONY,68.7569160677,5,6,STREET,12/11/2015,Sindh,2015-12-11 03:00:00
2366,Dokri,Larkana,177066.0,Terrorism,COMPLETED,,Larkana,27.3663553539,MISDEMEANOR,68.109018637,7,2,RESIDENCE,05/24/2015,Sindh,2015-05-24 13:00:00
2367,Tangwani,Larkana,13859.0,Car Stolen,COMPLETED,,Kashmore,28.2628942484,MISDEMEANOR,69.016609272,7,4,STREET,07/06/2014,Sindh,2014-07-06 11:30:00
2368,Tangwani,Larkana,187991.0,Theft,COMPLETED,,Kashmore,28.2730295178,FELONY,68.9823257208,6,6,STREET,12/07/2015,Sindh,2015-12-02 21:00:00
2369,Garhi Yasin,Larkana,39826.0,Assault,COMPLETED,,Shikarpur,27.9140292296,VIOLATION,68.5305154124,3,3,RESIDENCE,09/21/2015,Sindh,2015-09-21 11:30:00
2370,Dokri,Larkana,82108.0,Terrorism,COMPLETED,,Larkana,27.3808213443,MISDEMEANOR,68.0843075744,4,1,RESIDENCE,08/06/2015,Sindh,2015-08-06 16:33:00
2371,Tangwani,Larkana,48382.0,Terrorism,COMPLETED,,Kashmore,28.2790026055,MISDEMEANOR,68.9999999379,6,2,RESIDENCE,08/03/2015,Sindh,2015-07-31 13:30:00
2372,Sujawal Junejo,Larkana,165620.0,Burglary,COMPLETED,,Qambar-Shahdadkot,24.6089636038,FELONY,68.0827574306,6,9,RESIDENCE,01/13/2015,Sindh,2015-01-13 09:45:00
2373,Thul,Larkana,102693.0,Assault,COMPLETED,,Jacobabad,28.2459666665,VIOLATION,68.7590277885,5,7,RESIDENCE,06/04/2014,Sindh,2014-06-03 23:30:00
2374,Thul,Larkana,67589.0,Terrorism,COMPLETED,,Jacobabad,28.2384498702,MISDEMEANOR,68.794819167,6,1,STREET,08/14/2015,Sindh,2015-08-14 00:04:00
2375,Bakrani,Larkana,98116.0,Robbery,ATTEMPTED,,Larkana,27.4475854156,FELONY,68.1766787874,2,5,SUPERMARKET/ STORE,07/12/2014,Sindh,2014-07-11 23:35:00
2376,Kambar,Larkana,41724.0,Narcotics,COMPLETED,,Qambar-Shahdadkot,27.5847738119,FELONY,67.9927961067,6,3,RESIDENCE,03/06/2014,Sindh,2014-03-06 06:15:00
2377,Kandhkot,Larkana,101057.0,Terrorism,COMPLETED,,Kashmore,28.2339321591,FELONY,69.1868796758,6,6,HIGHWAY,11/04/2014,Sindh,2014-11-03 23:00:00
2378,Garhi Khairo,Larkana,125434.0,Theft,ATTEMPTED,,Jacobabad,28.0535863185,MISDEMEANOR,67.968073112,3,2,SUPERMARKET/ STORE,11/27/2015,Sindh,2015-11-27 01:15:00
2379,Dokri,Larkana,57502.0,Assault,COMPLETED,,Larkana,27.3636455222,VIOLATION,68.1083425939,5,4,RESIDENCE,01/14/2015,Sindh,2015-01-14 07:40:00
2380,Kubo Saeed Khan,Larkana,146917.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.8726456996,VIOLATION,67.6886296895,2,2,PUBLIC BUILDING,02/02/2015,Sindh,2015-01-31 18:00:00
2381,Bakrani,Larkana,82325.0,Vandalism,COMPLETED,,Larkana,27.4570552892,MISDEMEANOR,68.1667121499,3,9,STREET,07/11/2014,Sindh,2014-07-11 16:49:00
2382,Garhi Khairo,Larkana,143110.0,Theft,COMPLETED,,Jacobabad,28.0504097386,MISDEMEANOR,67.9779988432,7,8,SUPERMARKET/ STORE,10/17/2014,Sindh,2014-10-17 18:30:00
2383,Rato Dero,Larkana,177840.0,Corruption and Bribery,COMPLETED,,Larkana,27.8027235395,FELONY,68.2852113484,6,2,RESIDENCE,07/30/2014,Sindh,2014-07-29 14:30:00
2384,Rato Dero,Larkana,133996.0,Terrorism,COMPLETED,,Larkana,27.8021581148,MISDEMEANOR,68.306316413,3,8,STREET,12/11/2015,Sindh,2015-12-11 13:00:00
2385,Warah,Larkana,133211.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,27.4518933591,MISDEMEANOR,67.806040788,5,6,STREET,05/05/2015,Sindh,2015-05-05 19:02:00
2386,Miro Khan,Larkana,122887.0,Corruption and Bribery,COMPLETED,,Qambar-Shahdadkot,27.7604534172,FELONY,68.1045613139,7,4,RESIDENCE,11/27/2015,Sindh,2015-11-27 01:30:00
2387,Thul,Larkana,156843.0,Terrorism,COMPLETED,,Jacobabad,28.2300311619,MISDEMEANOR,68.776196628,7,8,RESIDENCE,09/05/2015,Sindh,2015-07-31 19:00:00
2388,Rato Dero,Larkana,17971.0,Theft,COMPLETED,,Larkana,27.801053309,MISDEMEANOR,68.2969327994,3,4,RESIDENCE,11/26/2014,Sindh,2014-08-10 12:30:00
2389,Kubo Saeed Khan,Larkana,103382.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.8707221438,VIOLATION,67.721437404,7,3,RESIDENCE,05/16/2014,Sindh,2014-05-16 21:30:00
2390,Garhi Khairo,Larkana,158096.0,Terrorism,COMPLETED,,Jacobabad,28.063521541,MISDEMEANOR,67.9833595931,4,6,PUBLIC BUILDING,08/13/2015,Sindh,2015-08-13 12:00:00
2391,Dokri,Larkana,138343.0,Corruption and Bribery,COMPLETED,,Larkana,27.3674998767,FELONY,68.1187522783,6,2,STREET,03/19/2014,Sindh,2014-03-19 21:00:00
2392,Rato Dero,Larkana,198042.0,Theft,COMPLETED,,Larkana,27.8091361092,FELONY,68.3087968517,3,7,RESIDENCE,02/26/2015,Sindh,2015-02-09 12:00:00
2393,Thul,Larkana,42537.0,Theft,COMPLETED,,Jacobabad,28.2322577514,FELONY,68.7890734527,4,7,RESIDENCE,01/07/2014,Sindh,2014-01-07 17:08:00
2394,Thul,Larkana,15646.0,Terrorism,COMPLETED,,Jacobabad,28.2385599703,MISDEMEANOR,68.7582031707,3,2,STREET,12/19/2013,Sindh,2013-12-19 13:30:00
2395,Sujawal Junejo,Larkana,82771.0,Assault,COMPLETED,,Qambar-Shahdadkot,24.5995798697,MISDEMEANOR,68.0672287636,7,6,SUPERMARKET/ STORE,03/13/2015,Sindh,2015-03-13 19:15:00
2396,Thul,Larkana,56856.0,Mugging,COMPLETED,,Jacobabad,28.2338750993,MISDEMEANOR,68.764486311,7,6,MALL,05/01/2014,Sindh,2014-05-01 12:57:00
2397,Tangwani,Larkana,151563.0,Child Abuse,COMPLETED,,Kashmore,28.273822123,FELONY,69.001100943,6,9,STREET,08/03/2015,Sindh,2015-08-03 01:30:00
2398,Bakrani,Larkana,178551.0,Terrorism,COMPLETED,,Larkana,27.4560308814,MISDEMEANOR,68.1844795276,7,5,RESIDENCE,04/18/2014,Sindh,2014-04-18 18:30:00
2399,Garhi Khairo,Larkana,12510.0,Assault,COMPLETED,,Jacobabad,28.0577373466,MISDEMEANOR,67.9700927302,7,9,RESIDENCE,01/17/2015,Sindh,2015-01-17 16:40:00
2400,Rato Dero,Larkana,45265.0,Theft,COMPLETED,,Larkana,27.8007439872,MISDEMEANOR,68.2732085351,2,4,RESIDENCE,04/01/2014,Sindh,2014-02-04 16:50:00
2401,Garhi Khairo,Larkana,111781.0,Assault,COMPLETED,,Jacobabad,28.0669807474,VIOLATION,67.9744266278,6,9,RESTAURANT/DINER,07/09/2014,Sindh,2014-07-09 12:50:00
2402,Kubo Saeed Khan,Larkana,140604.0,Narcotics,COMPLETED,,Qambar-Shahdadkot,27.87623707,FELONY,67.717560511,3,4,STREET,11/14/2015,Sindh,2015-11-13 23:49:00
2403,Tangwani,Larkana,94403.0,Car Stolen,COMPLETED,,Kashmore,28.2704878607,MISDEMEANOR,69.010114696,6,6,STREET,09/28/2014,Sindh,2014-09-28 01:50:00
2404,Garhi Khairo,Larkana,25181.0,Narcotics,COMPLETED,,Jacobabad,28.058700314,FELONY,67.9735393476,4,5,RESTAURANT/DINER,01/11/2015,Sindh,2015-01-11 02:05:00
2405,Thul,Larkana,59206.0,Terrorism,COMPLETED,,Jacobabad,28.242336228,MISDEMEANOR,68.7826611353,3,3,RESIDENCE,03/02/2015,Sindh,2014-09-06 16:02:00
2406,Lakhi,Larkana,143636.0,Theft,COMPLETED,,Shikarpur,27.8589109276,MISDEMEANOR,68.7105182087,4,6,STREET,12/10/2015,Sindh,2015-12-09 23:30:00
2407,Kubo Saeed Khan,Larkana,153837.0,Burglary,COMPLETED,,Qambar-Shahdadkot,27.8646260459,FELONY,67.6894498242,4,6,RESIDENCE,10/04/2015,Sindh,2015-10-04 12:00:00
2408,Sujawal Junejo,Larkana,183517.0,Assault,COMPLETED,,Qambar-Shahdadkot,24.5984054132,VIOLATION,68.0817161379,4,3,RESIDENCE,01/25/2014,Sindh,2014-01-25 12:38:00
2409,Bakrani,Larkana,161504.0,Terrorism,COMPLETED,,Larkana,27.4404723898,MISDEMEANOR,68.1908447134,4,7,RESIDENCE,05/05/2015,Sindh,2015-05-05 10:15:00
2410,Thul,Larkana,174107.0,Assault,COMPLETED,,Jacobabad,28.2304536326,VIOLATION,68.794190138,6,5,RESIDENCE,03/16/2014,Sindh,2014-03-16 01:00:00
2411,Nasirabad,Larkana,25083.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,27.3810833225,MISDEMEANOR,67.9013365411,7,3,STREET,02/05/2015,Sindh,2015-02-04 14:50:00
2412,Dokri,Larkana,179227.0,Car Stolen,COMPLETED,,Larkana,27.3725363512,MISDEMEANOR,68.0872647287,4,9,STREET,11/09/2014,Sindh,2014-11-09 03:35:00
2413,Kubo Saeed Khan,Larkana,166130.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.8731825198,MISDEMEANOR,67.7206355368,3,5,RESIDENCE,03/20/2014,Sindh,2014-03-17 12:00:00
2414,Thul,Larkana,52391.0,Robbery,ATTEMPTED,,Jacobabad,28.2436477783,FELONY,68.7874318949,4,4,STREET,01/31/2015,Sindh,2015-01-31 14:40:00
2415,Kubo Saeed Khan,Larkana,22262.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,27.8820594501,MISDEMEANOR,67.6887380266,5,3,RESIDENCE,10/08/2015,Sindh,2015-10-08 18:30:00
2416,Lakhi,Larkana,14238.0,Theft,COMPLETED,,Shikarpur,27.8457272938,FELONY,68.6801676939,6,2,RESIDENCE,11/23/2015,Sindh,2015-11-19 09:00:00
2417,Khanpur,Larkana,198297.0,Terrorism,COMPLETED,,Shikarpur,28.6466217056,FELONY,70.6601327653,7,4,RESIDENCE,08/02/2015,Sindh,2015-08-02 02:00:00
2418,Tangwani,Larkana,38443.0,Car Stolen,COMPLETED,,Kashmore,28.2642522935,FELONY,69.0079137956,6,5,STREET,11/11/2014,Sindh,2014-11-10 16:30:00
2419,Thul,Larkana,164097.0,Narcotics,COMPLETED,,Jacobabad,28.2328681086,MISDEMEANOR,68.7782865603,2,8,RESIDENCE,03/17/2014,Sindh,2014-03-17 17:02:00
2420,Thul,Larkana,171128.0,Terrorism,COMPLETED,,Jacobabad,28.2462204471,MISDEMEANOR,68.7597378424,3,8,RESIDENCE,08/07/2014,Sindh,2014-08-07 20:35:00
2421,Bakrani,Larkana,111940.0,Assault,COMPLETED,,Larkana,27.4423846472,FELONY,68.193604477,5,6,RESTAURANT/DINER,12/27/2013,Sindh,2013-12-27 02:30:00
2422,Bakrani,Larkana,181778.0,Terrorism,COMPLETED,,Larkana,27.4525952029,MISDEMEANOR,68.185523741,4,7,RESIDENCE,05/07/2014,Sindh,2014-05-07 13:44:00
2423,Garhi Khairo,Larkana,16492.0,Vandalism,COMPLETED,,Jacobabad,28.0601144945,MISDEMEANOR,67.9766525043,7,3,STREET,07/13/2014,Sindh,2014-07-13 00:01:00
2424,Kambar,Larkana,176008.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.5917536829,FELONY,68.0081277289,7,2,SCHOOL,01/26/2014,Sindh,2014-01-26 18:15:00
2425,Thul,Larkana,86076.0,Homicide,COMPLETED,,Jacobabad,28.2445023013,MISDEMEANOR,68.7932237044,3,9,STREET,07/17/2015,Sindh,2015-07-17 22:30:00
2426,Tangwani,Larkana,67677.0,Car Stolen,COMPLETED,,Kashmore,28.2674081079,MISDEMEANOR,69.0007476603,7,5,AIRPORT,02/19/2015,Sindh,2015-02-19 20:00:00
2427,Rato Dero,Larkana,175700.0,Assault,COMPLETED,,Larkana,27.8014489881,MISDEMEANOR,68.2904514585,2,9,RESIDENCE,02/27/2014,Sindh,2014-02-27 19:30:00
2428,Khanpur,Larkana,109243.0,Theft,COMPLETED,,Shikarpur,28.6459987773,MISDEMEANOR,70.6709276583,4,3,RESIDENCE,06/05/2014,Sindh,2014-04-01 00:01:00
2429,Rato Dero,Larkana,181448.0,Theft,COMPLETED,,Larkana,27.8016826856,MISDEMEANOR,68.287114947,2,8,RESIDENCE,06/23/2014,Sindh,2014-06-23 13:00:00
2430,Tangwani,Larkana,18474.0,Theft,COMPLETED,,Kashmore,28.2676892867,FELONY,69.0181068423,6,8,SUPERMARKET/ STORE,09/28/2015,Sindh,2015-09-28 17:00:00
2431,Kandhkot,Larkana,14317.0,Terrorism,COMPLETED,,Kashmore,28.2464000082,MISDEMEANOR,69.1839468205,4,8,RESIDENCE,01/03/2015,Sindh,2014-12-31 22:00:00
2432,Dokri,Larkana,132179.0,Assault,COMPLETED,,Larkana,27.3733453414,MISDEMEANOR,68.0929552663,4,3,RESIDENCE,11/16/2014,Sindh,2014-11-16 20:30:00
2433,Kandhkot,Larkana,10113.0,Assault,COMPLETED,,Kashmore,28.2408200213,MISDEMEANOR,69.1981323839,2,9,RESIDENCE,06/03/2014,Sindh,2014-06-03 15:05:00
2434,Thul,Larkana,33377.0,Theft,COMPLETED,,Jacobabad,28.2356793211,MISDEMEANOR,68.7849202501,4,1,PUBLIC BUILDING,02/21/2015,Sindh,2015-02-21 09:00:00
2435,Warah,Larkana,5235.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,27.449407764,MISDEMEANOR,67.7835362715,2,7,STREET,07/29/2014,Sindh,2014-07-28 10:00:00
2436,Lakhi,Larkana,184821.0,Terrorism,COMPLETED,,Shikarpur,27.8439667321,MISDEMEANOR,68.7184047315,5,1,OTHER,02/19/2014,Sindh,2014-02-19 01:35:00
2437,Nasirabad,Larkana,6035.0,Vandalism,COMPLETED,,Qambar-Shahdadkot,27.3750274796,MISDEMEANOR,67.9046407866,2,4,RESIDENCE,07/28/2014,Sindh,2014-07-27 22:20:00
2438,Tangwani,Larkana,82471.0,Terrorism,COMPLETED,,Kashmore,28.2767969134,MISDEMEANOR,69.0048760557,2,7,STREET,10/15/2014,Sindh,2014-10-15 02:00:00
2439,Dokri,Larkana,70097.0,Narcotics,COMPLETED,,Larkana,27.3622932106,FELONY,68.1035647924,3,8,RESIDENCE,06/18/2014,Sindh,2014-06-18 12:32:00
2440,Garhi Khairo,Larkana,14004.0,Theft,COMPLETED,,Jacobabad,28.0501453297,MISDEMEANOR,67.9895937779,5,3,RESIDENCE,07/08/2015,Sindh,2015-07-08 13:35:00
2441,Rato Dero,Larkana,125314.0,Mugging,COMPLETED,,Larkana,27.793535626,MISDEMEANOR,68.3039411568,5,2,STREET,08/23/2015,Sindh,2015-08-23 19:10:00
2442,Garhi Khairo,Larkana,101473.0,Terrorism,COMPLETED,,Jacobabad,28.0656341194,MISDEMEANOR,67.9639704973,6,1,RESIDENCE,05/08/2015,Sindh,2015-05-07 20:00:00
2443,Thul,Larkana,23793.0,Theft,COMPLETED,,Jacobabad,28.2494489415,MISDEMEANOR,68.7890580443,2,4,SUPERMARKET/ STORE,10/07/2014,Sindh,2014-08-23 21:16:00
2444,Tangwani,Larkana,46642.0,Robbery,COMPLETED,,Kashmore,28.265646571,FELONY,69.0032755416,3,8,SUPERMARKET/ STORE,07/27/2015,Sindh,2015-07-27 22:40:00
2445,Thul,Larkana,137714.0,Assault,COMPLETED,,Jacobabad,28.2313695668,FELONY,68.7732401646,7,8,RESIDENCE,01/23/2015,Sindh,2015-01-23 12:10:00
2446,Kambar,Larkana,169288.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.5791383765,MISDEMEANOR,68.0239885883,6,8,RESIDENCE,04/11/2015,Sindh,2015-04-11 14:50:00
2447,Kandhkot,Larkana,26589.0,Theft,COMPLETED,,Kashmore,28.2355935417,MISDEMEANOR,69.1932079672,3,8,SUPERMARKET/ STORE,10/02/2014,Sindh,2014-10-02 12:00:00
2448,Thul,Larkana,32852.0,Terrorism,COMPLETED,,Jacobabad,28.2343442008,MISDEMEANOR,68.7597288136,3,5,RESIDENCE,10/14/2015,Sindh,2015-10-14 17:35:00
2449,Bakrani,Larkana,142621.0,Terrorism,COMPLETED,,Larkana,27.4497998686,MISDEMEANOR,68.18184154,4,7,RESIDENCE,04/02/2015,Sindh,2015-03-26 18:00:00
2450,Garhi Khairo,Larkana,198252.0,Assault,COMPLETED,,Jacobabad,28.066266881,MISDEMEANOR,67.9764966031,2,7,RESIDENCE,12/20/2013,Sindh,2013-12-20 12:50:00
2451,Warah,Larkana,164675.0,Assault,COMPLETED,,Qambar-Shahdadkot,27.4542627325,MISDEMEANOR,67.7949557115,7,5,STREET,08/14/2014,Sindh,2014-08-14 17:00:00
2452,Thul,Larkana,187080.0,Mugging,COMPLETED,,Jacobabad,28.2346512308,MISDEMEANOR,68.7620778163,7,5,STREET,03/20/2014,Sindh,2014-03-20 14:24:00
2453,Kandhkot,Larkana,73847.0,Car Stolen,COMPLETED,,Kashmore,28.240442007,MISDEMEANOR,69.2028994432,5,4,HIGHWAY,08/19/2015,Sindh,2015-08-19 21:15:00
2454,Sujawal Junejo,Larkana,167947.0,Vandalism,COMPLETED,,Qambar-Shahdadkot,24.603499363,MISDEMEANOR,68.0761685463,5,4,PUBLIC TRANSPORT,05/08/2015,Sindh,2015-05-08 14:00:00
2455,Nasirabad,Larkana,32310.0,Theft,COMPLETED,,Qambar-Shahdadkot,27.3844993187,MISDEMEANOR,67.9103737167,5,4,RESIDENCE,08/06/2015,Sindh,2015-07-13 18:30:00
2456,Garhi Khairo,Larkana,184227.0,Theft,COMPLETED,,Jacobabad,28.0533810295,FELONY,67.9620857568,5,6,RESIDENCE,01/10/2014,Sindh,2014-01-09 15:30:00
2457,Lakhi,Larkana,122535.0,Assault,COMPLETED,,Shikarpur,27.8396491167,VIOLATION,68.7079693415,2,3,RESIDENCE,03/28/2015,Sindh,2015-03-28 19:15:00
2458,Rato Dero,Larkana,81218.0,Theft,COMPLETED,,Larkana,27.8067058886,MISDEMEANOR,68.2958426491,2,8,STREET,03/01/2014,Sindh,2014-02-28 18:30:00
2459,Thul,Larkana,182192.0,Vandalism,COMPLETED,,Jacobabad,28.2394296046,MISDEMEANOR,68.7728825384,7,6,PUBLIC BUILDING,03/14/2014,Sindh,2014-03-14 01:50:00
2460,Kandhkot,Larkana,92317.0,Theft,COMPLETED,,Kashmore,28.2470519548,MISDEMEANOR,69.1904857855,5,5,RESIDENCE,11/11/2015,Sindh,2015-08-07 15:00:00
2461,Bakrani,Larkana,116053.0,Terrorism,COMPLETED,,Larkana,27.4410501572,MISDEMEANOR,68.1971710779,6,2,RESIDENCE,10/03/2014,Sindh,2014-10-03 02:00:00
2462,Sujawal Junejo,Larkana,21601.0,Assault,COMPLETED,,Qambar-Shahdadkot,24.5954006383,VIOLATION,68.0872183155,6,7,SUPERMARKET/ STORE,09/29/2015,Sindh,2015-09-28 18:50:00
2463,Shahdadkot,Larkana,182241.0,Terrorism,COMPLETED,,Qambar-Shahdadkot,27.8545363082,FELONY,67.9258635445,7,9,STREET,12/18/2015,Sindh,2015-12-18 17:15:00
